A,Element,Z,Mass,Source
64,Cr,24,63.964058,measured
64,Mn,25,63.95384937,measured
64,Fe,26,63.940987763,measured
64,Co,27,63.935810291,measured
64,Ni,28,63.92796634100001,measured
64,Cu,29,63.929763857,measured
64,Zn,30,63.929141772,measured
64,Ga,31,63.936840365,measured
64,Ge,32,63.941689913000005,measured
64,As,33,63.95756,estimated
64,Se,34,63.971336,estimated
65,V,23,64.987354,estimated
65,Cr,24,64.969705,estimated
65,Mn,25,64.95601975,measured
65,Fe,26,64.945015324,measured
65,Co,27,64.936462073,measured
65,Ni,28,64.930084697,measured
65,Cu,29,64.927789487,measured
65,Zn,30,64.929240532,measured
65,Ga,31,64.932734395,measured
65,Ge,32,64.93936813699999,measured
65,As,33,64.949611,measured
65,Se,34,64.964552,estimated
66,V,23,65.993977,estimated
66,Cr,24,65.973462,estimated
66,Mn,25,65.960546834,measured
66,Fe,26,65.94624996,measured
66,Co,27,65.939442945,measured
66,Ni,28,65.929139334,measured
66,Cu,29,65.928868814,measured
66,Zn,30,65.92603370399999,measured
66,Ga,31,65.931589832,measured
66,Ge,32,65.93386212600001,measured
66,As,33,65.944148779,measured
66,Se,34,65.955276,estimated
67,V,23,66.999302,estimated
67,Cr,24,66.979946,estimated
67,Mn,25,66.964079,estimated
67,Fe,26,66.951035482,measured
67,Co,27,66.940609628,measured
67,Ni,28,66.931569414,measured
67,Cu,29,66.92772952600001,measured
67,Zn,30,66.927127482,measured
67,Ga,31,66.928202384,measured
67,Ge,32,66.93273362,measured
67,As,33,66.939251111,measured
67,Se,34,66.949994,measured
67,Br,35,66.964798,estimated
68,Cr,24,67.984112,estimated
68,Mn,25,67.969533,estimated
68,Fe,26,67.953314875,measured
68,Co,27,67.944250135,measured
68,Ni,28,67.93186878899999,measured
68,Cu,29,67.929610889,measured
68,Zn,30,67.92484429100001,measured
68,Ga,31,67.927980221,measured
68,Ge,32,67.928095308,measured
68,As,33,67.93677412999999,measured
68,Se,34,67.941825239,measured
68,Br,35,67.958356,estimated
69,Cr,24,68.990789,estimated
69,Mn,25,68.973408,estimated
69,Fe,26,68.9581,estimated
69,Co,27,68.946023102,measured
69,Ni,28,68.935610268,measured
69,Cu,29,68.929429268,measured
69,Zn,30,68.92655041799999,measured
69,Ga,31,68.925573531,measured
69,Ge,32,68.927964471,measured
69,As,33,68.932246294,measured
69,Se,34,68.93941484700001,measured
