A,Element,Z,HalfLife
235,Th,90,7.2 m
235,Pa,91,24.4 m
235,U,92,704 My
235,Np,93,396.1 d
235,Pu,94,25.3 m
235,Am,95,10.3 m
235,Cm,96,5 m
235,Bk,97,1 m
236,Ac,89,4.5 m
236,Th,90,37.3 m
236,Pa,91,9.1 m
236,U,92,23.42 My
236,Np,93,153 ky
236,Pu,94,2.858 y
236,Am,95,3.6 m
236,Cm,96,6.8 m
236,Bk,97,2 m
237,Ac,89,4 m
237,Th,90,4.8 m
237,Pa,91,8.7 m
237,U,92,6.752 d
237,Np,93,2.144 My
237,Pu,94,45.64 d
237,Am,95,73.6 m
237,Cm,96,20 m
237,Bk,97,2 m
237,Cf,98,0.8 s
238,Th,90,9.4 m
238,Pa,91,2.28 m
238,U,92,4.468 Gy
238,Np,93,2.099 d
238,Pu,94,87.7 y
238,Am,95,98 m
238,Cm,96,2.2 h
238,Bk,97,2.40 m
238,Cf,98,21.1 ms
239,Th,90,2 m
239,Pa,91,1.8 h
239,U,92,23.45 m
239,Np,93,2.356 d
239,Pu,94,24.11 ky
239,Am,95,11.9 h
239,Cm,96,2.5 h
239,Bk,97,4 m
239,Cf,98,60 s
239,Es,99,1 s
240,Pa,91,2 m
240,U,92,14.1 h
240,Np,93,61.9 m
240,Pu,94,6.561 ky
240,Am,95,50.8 h
240,Cm,96,27 d
240,Bk,97,4.8 m
240,Cf,98,40.3 s
240,Es,99,1 s
241,Pa,91,2 m
241,U,92,5 m
241,Np,93,13.9 m
241,Pu,94,14.329 y
241,Am,95,432.6 y
241,Cm,96,32.8 d
241,Bk,97,4.6 m
241,Cf,98,2.35 m
241,Es,99,10 s
241,Fm,100,730 us
242,U,92,16.8 m
242,Np,93,2.2 m
242,Pu,94,375 ky
242,Am,95,16.02 h
242,Cm,96,162.8 d
242,Bk,97,7.0 m
242,Cf,98,3.49 m
242,Es,99,17.8 s
242,Fm,100,800 us
243,U,92,10 m
243,Np,93,1.85 m
243,Pu,94,4.956 h
243,Am,95,7.364 ky
243,Cm,96,29.1 y
243,Bk,97,4.6 h
243,Cf,98,10.7 m
243,Es,99,21.6 s
243,Fm,100,231 ms
244,Np,93,2.29 m
244,Pu,94,80.0 My
244,Am,95,10.1 h
244,Cm,96,18.10 y
244,Bk,97,5.02 h
244,Cf,98,19.4 m
244,Es,99,37 s
244,Fm,100,3.12 ms
245,Np,93,2 m
245,Pu,94,10.5 h
245,Am,95,2.05 h
245,Cm,96,8.25 ky
245,Bk,97,4.95 d
245,Cf,98,45.0 m
245,Es,99,1.1 m
245,Fm,100,4.2 s
245,Md,101,400 ms
246,Pu,94,10.84 d
246,Am,95,39 m
246,Cm,96,4.706 ky
246,Bk,97,1.80 d
246,Cf,98,35.7 h
246,Es,99,7.5 m
246,Fm,100,1.54 s
246,Md,101,0.92 s
247,Pu,94,2.27 d
247,Am,95,23.0 m
247,Cm,96,15.6 My
247,Bk,97,1.38 ky
247,Cf,98,3.11 h
247,Es,99,4.55 m
247,Fm,100,31 s
247,Md,101,1.2 s
248,Am,95,3 m
248,Cm,96,348 ky
248,Bk,97,>9 y
248,Cf,98,333.5 d
248,Es,99,24 m
248,Fm,100,34.5 s
248,Md,101,7 s
248,No,102,<2us
249,Am,95,1 m
249,Cm,96,64.15 m
249,Bk,97,327.2 d
249,Cf,98,351 y
249,Es,99,102.2 m
249,Fm,100,1.6 m
249,Md,101,23.4 s
249,No,102,57 us
250,Cm,96,8300 y
250,Bk,97,3.212 h
250,Cf,98,13.08 y
250,Es,99,8.6 h
250,Fm,100,30.4 m
250,Md,101,52 s
250,No,102,5.0 us
251,Cm,96,16.8 m
251,Bk,97,55.6 m
251,Cf,98,900 y
251,Es,99,33 h
251,Fm,100,5.30 h
251,Md,101,4.21 m
251,No,102,800 ms
251,Lr,103,150 us
252,Cm,96,1 m
252,Bk,97,1.8 m
252,Cf,98,2.645 y
252,Es,99,471.7 d
252,Fm,100,25.39 h
252,Md,101,2.3 m
252,No,102,2.45 s
252,Lr,103,369 ms
253,Bk,97,10 m
253,Cf,98,17.81 d
253,Es,99,20.47 d
253,Fm,100,3.00 d
253,Md,101,12 m
253,No,102,1.56 m
253,Lr,103,632 ms
253,Rf,104,13 ms
254,Bk,97,1 m
254,Cf,98,60.5 d
254,Es,99,275.7 d
254,Fm,100,3.240 h
254,Md,101,10 m
254,No,102,51.2 s
254,Lr,103,17.1 s
254,Rf,104,23.2 us
255,Cf,98,85 m
255,Es,99,39.8 d
255,Fm,100,20.07 h
255,Md,101,27 m
255,No,102,3.52 m
255,Lr,103,31.1 s
255,Rf,104,1.66 s
255,Db,105,1.7 s
256,Cf,98,12.3 m
256,Es,99,25.4 m
256,Fm,100,157.6 m
256,Md,101,30 m
256,No,102,2.91 s
256,Lr,103,27 s
256,Rf,104,6.67 ms
256,Db,105,1.7 s
257,Es,99,7.7 d
257,Fm,100,100.5 d
257,Md,101,5.52 h
257,No,102,24.5 s
257,Lr,103,6.0 s
257,Rf,104,4.82 s
257,Db,105,2.3 s
258,Es,99,3 m
258,Fm,100,370 us
258,Md,101,51.5 d
258,No,102,1.2 ms
258,Lr,103,3.6 s
258,Rf,104,13.8 ms
258,Db,105,4.5 s
258,Sg,106,2.7 ms
259,Fm,100,1.5 s
259,Md,101,1.60 h
259,No,102,58 m
259,Lr,103,6.2 s
259,Rf,104,2.63 s
259,Db,105,510 ms
259,Sg,106,402 ms
260,Fm,100,1 m
260,Md,101,27.8 d
260,No,102,106 ms
260,Lr,103,3.0 m
260,Rf,104,21 ms
260,Db,105,1.52 s
260,Sg,106,4.95 ms
260,Bh,107,41 ms
261,Md,101,40 m
261,No,102,3 h
261,Lr,103,39 m
261,Rf,104,2.2 s
261,Db,105,4.7 s
261,Sg,106,183 ms
261,Bh,107,12.8 ms
262,Md,101,3 m
262,No,102,~5 ms
262,Lr,103,~4 h
262,Rf,104,250 ms
262,Db,105,34 s
262,Sg,106,10.9 ms
262,Bh,107,84 ms
263,No,102,20 m
263,Lr,103,5 h
263,Rf,104,11 m
263,Db,105,29 s
263,Sg,106,940 ms
263,Bh,107,200 ms
263,Hs,108,760 us
264,No,102,1 m
264,Lr,103,10 h
264,Rf,104,1 h
264,Db,105,3 m
264,Sg,106,47 ms
264,Bh,107,1.07 s
264,Hs,108,540 us
265,Lr,103,10 h
265,Rf,104,1.6 m
265,Db,105,15 m
265,Sg,106,9.2 s
265,Bh,107,1.19 s
265,Hs,108,1.96 ms
265,Mt,109,2 ms
266,Lr,103,21 h
266,Rf,104,4 h
266,Db,105,80 m
266,Sg,106,390 ms
266,Bh,107,2.5 s
266,Hs,108,3.02 ms
266,Mt,109,1.2 ms
267,Rf,104,2.5 h
267,Db,105,100 m
267,Sg,106,1.8 m
267,Bh,107,22 s
267,Hs,108,55 ms
267,Mt,109,10 ms
267,Ds,110,10 us
268,Rf,104,1 h
268,Db,105,29 h
268,Sg,106,2 m
268,Bh,107,25 s
268,Hs,108,1.42 s
268,Mt,109,27 ms
268,Ds,110,100 us
269,Db,105,3 h
269,Sg,106,5 m
269,Bh,107,1 m
269,Hs,108,16 s
269,Mt,109,100 ms
269,Ds,110,230 us
270,Db,105,2.0 h
270,Sg,106,3 m
270,Bh,107,3.8 m
270,Hs,108,9 s
270,Mt,109,6.3 ms
270,Ds,110,205 us
271,Sg,106,3.1 m
271,Bh,107,10 m
271,Hs,108,10 s
271,Mt,109,400 ms
271,Ds,110,90 ms
272,Sg,106,4 m
272,Bh,107,11.3 s
272,Hs,108,10 s
272,Mt,109,400 ms
272,Ds,110,200 ms
272,Rg,111,4.5 ms
273,Sg,106,5 m
273,Bh,107,1 m
273,Hs,108,1060 ms
273,Mt,109,800 ms
273,Ds,110,240 us
273,Rg,111,2 ms
274,Bh,107,60 s
274,Hs,108,500 ms
274,Mt,109,850 ms
274,Ds,110,10 ms
274,Rg,111,29 ms
275,Bh,107,5 m
275,Hs,108,290 ms
275,Mt,109,117 ms
275,Ds,110,10 ms
275,Rg,111,5 ms
276,Hs,108,100 ms
276,Mt,109,630 ms
276,Ds,110,100 ms
276,Rg,111,10 ms
276,Cn,112,100 us
277,Hs,108,11 ms
277,Mt,109,9 s
277,Ds,110,6 ms
277,Rg,111,10 ms
277,Cn,112,850 us
278,Mt,109,7 s
278,Ds,110,270 ms
278,Rg,111,8 ms
278,Cn,112,2 ms
278,Nh,113,2.3 ms
279,Mt,109,30 s
279,Ds,110,210 ms
279,Rg,111,180 ms
279,Cn,112,5 ms
279,Nh,113,1 ms
280,Ds,110,11 s
280,Rg,111,4.3 s
280,Cn,112,5 ms
280,Nh,113,10 ms
281,Ds,110,14 s
281,Rg,111,24 s
281,Cn,112,180 ms
281,Nh,113,100 ms
282,Rg,111,1.6 m
282,Cn,112,900 us
282,Nh,113,140 ms
283,Rg,111,30 s
283,Cn,112,4.1 s
283,Nh,113,160 ms
284,Cn,112,104 ms
284,Nh,113,930 ms
284,Fl,114,3.3 ms
285,Cn,112,32 s
285,Nh,113,3.3 s
285,Fl,114,210 ms
286,Nh,113,7 s
286,Fl,114,140 ms
287,Nh,113,2 m
287,Fl,114,520 ms
287,Mc,115,95 ms
288,Fl,114,750 ms
288,Mc,115,170 ms
289,Fl,114,2.4 s
289,Mc,115,310 ms
289,Lv,116,2 ms
290,Mc,115,410 ms
290,Lv,116,8 ms
291,Mc,115,1 s
291,Lv,116,28 ms
291,Ts,117,2 ms
292,Lv,116,24 ms
292,Ts,117,10 ms
293,Lv,116,80 ms
293,Ts,117,21 ms
293,Og,118,1 ms
294,Ts,117,70 ms
294,Og,118,1.15 ms
295,Og,118,10 ms
